# region_index,r_pred
817,6.200323
818,3.1598897
819,2.8283415
90,1.002012
91,1.0216738
92,2.1879504
93,1.9056199
94,4.3651342
95,6.2182307
96,7.367387
97,7.5130587
98,8.349624
99,8.405659
910,7.536207
911,8.242981
912,8.903254
913,8.55421
914,7.6086674
915,7.1458683
916,6.9066
917,4.6772876
918,3.055797
919,2.8201046
100,1.8870375
101,1.2122045
102,2.7215722
103,2.6832044
104,5.3316793
105,5.4355145
106,7.5940075
107,7.76678
108,8.7905245
109,7.5843973
1010,7.5113506
1011,8.138221
1012,7.8962145
1013,7.990569
1014,7.774539
1015,6.938242
1016,6.442401
1017,6.510524
1018,3.3386755
1019,2.8438365
110,1.764955
111,1.779294
112,3.0497448
113,2.7772634
114,3.6585853
115,6.920823
116,8.370771
117,8.051085
118,8.401857
119,8.69319
1110,8.412607
1111,8.395509
1112,8.739298
1113,8.334283
1114,7.8103065
1115,8.385494
1116,7.471422
1117,5.4169626
1118,3.1786597
1119,2.800957
120,1.3793337
121,1.5887175
122,2.1396422
123,2.0477939
124,4.519333
125,5.3584385
126,6.2685847
127,6.0429506
128,8.229119
129,9.740655
1210,8.434844
1211,8.74977
1212,8.342413
1213,7.630925
1214,7.5868444
1215,7.34721
1216,6.278167
1217,6.178486
1218,3.272234
1219,2.8018887
130,1.740412
131,1.8614084
132,2.9434035
133,2.4526057
134,3.0329487
135,5.121333
136,4.4536967
137,6.6356306
138,8.577976
139,10.605633
1310,9.87593
1311,9.42074
1312,9.619488
1313,7.7656183
1314,6.456005
1315,5.119194
1316,4.901988
1317,5.632249
1318,3.0907576
1319,2.6671445
140,1.9593546
141,1.4666638
142,2.7689092
143,2.3437073
144,2.9109857
145,3.1831946
146,3.8311253
147,4.5963426
148,6.240567
149,7.011244
1410,7.4537153
1411,8.785274
1412,7.841831
1413,7.4476986
1414,5.7852097
1415,4.344965
1416,4.8691626
1417,4.9913845
1418,2.5973346
1419,2.493944
150,2.565409
151,1.92664
152,2.3377566
